datetime_UTC,num_dets (1800of1800),num_dets (300of1800),num_dets (60of360)
2022-07-13 00:00:00,0.0,0.0,0.0
2022-07-13 00:30:00,0.0,0.0,0.0
2022-07-13 01:00:00,0.0,0.0,0.0
2022-07-13 01:30:00,0.0,0.0,0.0
2022-07-13 02:00:00,0.0,0.0,0.0
2022-07-13 02:30:00,0.0,0.0,0.0
2022-07-13 03:00:00,0.0,0.0,0.0
2022-07-13 03:30:00,0.0,0.0,0.0
2022-07-13 04:00:00,0.0,0.0,0.0
2022-07-13 04:30:00,43.0,0.0,0.0
2022-07-13 05:00:00,139.0,0.0,15.0
2022-07-13 05:30:00,311.0,0.0,107.0
2022-07-13 06:00:00,127.0,0.0,1.0
2022-07-13 06:30:00,46.0,1.0,7.0
2022-07-13 07:00:00,475.0,0.0,103.0
2022-07-13 07:30:00,334.0,160.0,98.0
2022-07-13 08:00:00,22.0,20.0,0.0
2022-07-13 08:30:00,92.0,5.0,42.0
2022-07-13 09:00:00,135.0,40.0,12.0
2022-07-13 09:30:00,66.0,28.0,26.0
2022-07-13 10:00:00,25.0,1.0,1.0
2022-07-13 10:30:00,66.0,6.0,0.0
2022-07-13 11:00:00,18.0,0.0,0.0
2022-07-13 11:30:00,0.0,0.0,0.0
2022-07-13 12:00:00,0.0,0.0,0.0
2022-07-13 12:30:00,0.0,0.0,0.0
2022-07-13 13:00:00,0.0,0.0,0.0
2022-07-13 13:30:00,0.0,0.0,0.0
2022-07-13 14:00:00,0.0,0.0,0.0
2022-07-13 14:30:00,0.0,0.0,0.0
2022-07-13 15:00:00,0.0,0.0,0.0
2022-07-13 15:30:00,0.0,0.0,0.0
2022-07-14 00:00:00,0.0,0.0,0.0
2022-07-14 00:30:00,0.0,0.0,0.0
2022-07-14 01:00:00,0.0,0.0,0.0
2022-07-14 01:30:00,0.0,0.0,0.0
2022-07-14 02:00:00,0.0,0.0,0.0
2022-07-14 02:30:00,0.0,0.0,0.0
2022-07-14 03:00:00,0.0,0.0,0.0
2022-07-14 03:30:00,0.0,0.0,0.0
2022-07-14 04:00:00,0.0,0.0,0.0
2022-07-14 04:30:00,0.0,0.0,0.0
2022-07-14 05:00:00,37.0,0.0,23.0
2022-07-14 05:30:00,37.0,0.0,0.0
2022-07-14 06:00:00,136.0,19.0,0.0
2022-07-14 06:30:00,276.0,24.0,76.0
2022-07-14 07:00:00,44.0,0.0,0.0
