datetime_UTC,num_dets (1800of1800),num_dets (300of1800),num_dets (60of360)
2022-07-26 00:30:00,0.0,0.0,0.0
2022-07-26 01:00:00,1.0,1.0,0.0
2022-07-26 01:30:00,0.0,0.0,0.0
2022-07-26 02:00:00,1.0,1.0,0.0
2022-07-26 02:30:00,0.0,0.0,0.0
2022-07-26 03:00:00,1.0,1.0,1.0
2022-07-26 03:30:00,0.0,0.0,0.0
2022-07-26 04:00:00,1.0,1.0,1.0
2022-07-26 04:30:00,249.0,8.0,5.0
2022-07-26 05:00:00,1656.0,258.0,279.0
2022-07-26 05:30:00,1325.0,334.0,122.0
2022-07-26 06:00:00,559.0,49.0,152.0
2022-07-26 06:30:00,412.0,21.0,19.0
2022-07-26 07:00:00,222.0,70.0,60.0
2022-07-26 07:30:00,173.0,13.0,20.0
2022-07-26 08:00:00,123.0,20.0,9.0
2022-07-26 08:30:00,24.0,0.0,16.0
2022-07-26 09:00:00,140.0,0.0,1.0
2022-07-26 09:30:00,202.0,0.0,13.0
2022-07-26 10:00:00,245.0,1.0,36.0
2022-07-26 10:30:00,191.0,4.0,42.0
2022-07-26 11:00:00,84.0,26.0,29.0
2022-07-26 11:30:00,5.0,2.0,1.0
2022-07-26 12:00:00,0.0,0.0,0.0
2022-07-26 12:30:00,1.0,0.0,0.0
2022-07-26 13:00:00,0.0,0.0,0.0
2022-07-26 13:30:00,1.0,0.0,0.0
2022-07-26 14:00:00,1.0,0.0,0.0
2022-07-26 14:30:00,1.0,0.0,0.0
2022-07-26 15:00:00,0.0,0.0,0.0
2022-07-26 15:30:00,1.0,0.0,0.0
2022-07-27 00:00:00,1.0,1.0,0.0
2022-07-27 00:30:00,0.0,0.0,0.0
2022-07-27 01:00:00,1.0,1.0,1.0
2022-07-27 01:30:00,1.0,0.0,0.0
2022-07-27 02:00:00,0.0,0.0,0.0
2022-07-27 02:30:00,1.0,0.0,0.0
2022-07-27 03:00:00,3.0,0.0,0.0
2022-07-27 03:30:00,0.0,0.0,0.0
2022-07-27 04:00:00,2.0,0.0,0.0
2022-07-27 04:30:00,139.0,0.0,10.0
2022-07-27 05:00:00,341.0,30.0,100.0
2022-07-27 05:30:00,394.0,78.0,75.0
2022-07-27 06:00:00,273.0,154.0,102.0
2022-07-27 06:30:00,119.0,51.0,69.0
2022-07-27 07:00:00,216.0,0.0,76.0
2022-07-27 07:30:00,1233.0,2.0,31.0
2022-07-27 08:00:00,1336.0,685.0,267.0
2022-07-27 08:30:00,793.0,12.0,210.0
2022-07-27 09:00:00,171.0,98.0,9.0
2022-07-27 09:30:00,86.0,28.0,0.0
2022-07-27 10:00:00,405.0,21.0,65.0
2022-07-27 10:30:00,76.0,5.0,4.0
2022-07-27 11:00:00,394.0,65.0,107.0
2022-07-27 11:30:00,38.0,0.0,0.0
2022-07-27 12:00:00,0.0,0.0,0.0
2022-07-27 12:30:00,1.0,0.0,0.0
2022-07-27 13:00:00,0.0,0.0,0.0
2022-07-27 13:30:00,1.0,0.0,0.0
2022-07-27 14:00:00,1.0,0.0,0.0
2022-07-27 14:30:00,0.0,0.0,0.0
2022-07-27 15:00:00,1.0,0.0,1.0
2022-07-27 15:30:00,0.0,0.0,0.0
2022-07-28 00:00:00,2.0,0.0,1.0
2022-07-28 00:30:00,0.0,0.0,0.0
2022-07-28 01:00:00,1.0,0.0,0.0
2022-07-28 01:30:00,0.0,0.0,0.0
2022-07-28 02:00:00,1.0,0.0,0.0
2022-07-28 02:30:00,0.0,0.0,0.0
2022-07-28 03:00:00,0.0,0.0,0.0
2022-07-28 03:30:00,0.0,0.0,0.0
2022-07-28 04:00:00,1.0,0.0,1.0
2022-07-28 04:30:00,209.0,0.0,72.0
2022-07-28 05:00:00,342.0,187.0,20.0
2022-07-28 05:30:00,361.0,11.0,91.0
2022-07-28 06:00:00,324.0,55.0,0.0
2022-07-28 06:30:00,121.0,5.0,27.0
2022-07-28 07:00:00,524.0,10.0,47.0
2022-07-28 07:30:00,108.0,30.0,55.0
2022-07-28 08:00:00,70.0,11.0,15.0
2022-07-28 08:30:00,130.0,2.0,2.0
2022-07-28 09:00:00,181.0,14.0,0.0
2022-07-28 09:30:00,37.0,4.0,8.0
2022-07-28 10:00:00,500.0,40.0,41.0
2022-07-28 10:30:00,118.0,41.0,7.0
2022-07-28 11:00:00,117.0,43.0,22.0
2022-07-28 11:30:00,20.0,17.0,2.0
2022-07-28 12:00:00,1.0,0.0,0.0
2022-07-28 12:30:00,1.0,0.0,0.0
2022-07-28 13:00:00,1.0,0.0,0.0
2022-07-28 13:30:00,0.0,0.0,0.0
2022-07-28 14:00:00,1.0,0.0,0.0
2022-07-28 14:30:00,0.0,0.0,0.0
2022-07-28 15:00:00,0.0,0.0,0.0
2022-07-28 15:30:00,1.0,1.0,1.0
2022-07-29 00:00:00,,,
2022-07-29 00:30:00,,,
2022-07-29 01:00:00,,,
2022-07-29 01:30:00,,,
2022-07-29 02:00:00,0.0,0.0,0.0
2022-07-29 02:30:00,0.0,0.0,0.0
2022-07-29 03:00:00,2.0,0.0,0.0
2022-07-29 03:30:00,1.0,0.0,0.0
2022-07-29 04:00:00,1.0,0.0,1.0
2022-07-29 04:30:00,312.0,39.0,0.0
2022-07-29 05:00:00,1834.0,14.0,215.0
2022-07-29 05:30:00,490.0,122.0,77.0
