datetime_UTC,num_dets (30of30),num_dets (5of30),num_dets (1of6)
2022-07-23 00:00:00,0.0,0.0,0.0
2022-07-23 00:30:00,0.0,0.0,0.0
2022-07-23 01:00:00,0.0,0.0,0.0
2022-07-23 01:30:00,0.0,0.0,0.0
2022-07-23 02:00:00,0.0,0.0,0.0
2022-07-23 02:30:00,0.0,0.0,0.0
2022-07-23 03:00:00,0.0,0.0,0.0
2022-07-23 03:30:00,0.0,0.0,0.0
2022-07-23 04:00:00,53.0,0.0,0.0
2022-07-23 04:30:00,1277.0,156.0,175.0
2022-07-23 05:00:00,626.0,32.0,349.0
2022-07-23 05:30:00,92.0,0.0,0.0
2022-07-23 06:00:00,1806.0,311.0,283.0
2022-07-23 06:30:00,355.0,316.0,25.0
2022-07-23 07:00:00,721.0,138.0,131.0
2022-07-23 07:30:00,587.0,45.0,69.0
2022-07-23 08:00:00,2936.0,259.0,428.0
2022-07-23 08:30:00,6767.0,429.0,874.0
2022-07-23 09:00:00,5187.0,854.0,639.0
2022-07-23 09:30:00,5398.0,1211.0,1034.0
2022-07-23 10:00:00,4002.0,861.0,637.0
2022-07-23 10:30:00,3987.0,540.0,580.0
2022-07-23 11:00:00,4826.0,1038.0,772.0
2022-07-23 11:30:00,1938.0,244.0,253.0
2022-07-23 12:00:00,38.0,32.0,0.0
2022-07-23 12:30:00,0.0,0.0,0.0
2022-07-23 13:00:00,0.0,0.0,0.0
2022-07-23 13:30:00,0.0,0.0,0.0
2022-07-23 14:00:00,0.0,0.0,0.0
2022-07-23 14:30:00,0.0,0.0,0.0
2022-07-23 15:00:00,0.0,0.0,0.0
2022-07-23 15:30:00,0.0,0.0,0.0
2022-07-24 00:00:00,0.0,0.0,0.0
2022-07-24 00:30:00,0.0,0.0,0.0
2022-07-24 01:00:00,0.0,0.0,0.0
2022-07-24 01:30:00,0.0,0.0,0.0
2022-07-24 02:00:00,0.0,0.0,0.0
2022-07-24 02:30:00,0.0,0.0,0.0
2022-07-24 03:00:00,0.0,0.0,0.0
2022-07-24 03:30:00,0.0,0.0,0.0
2022-07-24 04:00:00,0.0,0.0,0.0
2022-07-24 04:30:00,1662.0,266.0,90.0
2022-07-24 05:00:00,114.0,49.0,49.0
2022-07-24 05:30:00,30.0,1.0,12.0
2022-07-24 06:00:00,67.0,3.0,35.0
2022-07-24 06:30:00,17.0,0.0,0.0
2022-07-24 07:00:00,102.0,1.0,0.0
2022-07-24 07:30:00,310.0,105.0,21.0
2022-07-24 08:00:00,471.0,226.0,63.0
2022-07-24 08:30:00,247.0,18.0,82.0
2022-07-24 09:00:00,384.0,45.0,38.0
2022-07-24 09:30:00,727.0,90.0,80.0
2022-07-24 10:00:00,985.0,221.0,96.0
2022-07-24 10:30:00,1070.0,139.0,255.0
2022-07-24 11:00:00,402.0,41.0,21.0
2022-07-24 11:30:00,4327.0,73.0,738.0
2022-07-24 12:00:00,25.0,0.0,0.0
2022-07-24 12:30:00,0.0,0.0,0.0
2022-07-24 13:00:00,9.0,0.0,1.0
2022-07-24 13:30:00,0.0,0.0,0.0
2022-07-24 14:00:00,0.0,0.0,0.0
2022-07-24 14:30:00,0.0,0.0,0.0
2022-07-24 15:00:00,0.0,0.0,0.0
2022-07-24 15:30:00,1.0,0.0,0.0
2022-07-25 00:00:00,0.0,0.0,0.0
2022-07-25 00:30:00,0.0,0.0,0.0
2022-07-25 01:00:00,0.0,0.0,0.0
2022-07-25 01:30:00,0.0,0.0,0.0
2022-07-25 02:00:00,0.0,0.0,0.0
2022-07-25 02:30:00,0.0,0.0,0.0
2022-07-25 03:00:00,0.0,0.0,0.0
2022-07-25 03:30:00,0.0,0.0,0.0
2022-07-25 04:00:00,192.0,0.0,0.0
2022-07-25 04:30:00,1751.0,426.0,285.0
2022-07-25 05:00:00,430.0,310.0,71.0
2022-07-25 05:30:00,64.0,0.0,0.0
2022-07-25 06:00:00,106.0,26.0,0.0
2022-07-25 06:30:00,203.0,117.0,0.0
2022-07-25 07:00:00,51.0,2.0,9.0
2022-07-25 07:30:00,272.0,57.0,57.0
2022-07-25 08:00:00,164.0,49.0,14.0
2022-07-25 08:30:00,1515.0,242.0,208.0
2022-07-25 09:00:00,546.0,0.0,159.0
2022-07-25 09:30:00,526.0,35.0,135.0
2022-07-25 10:00:00,1990.0,57.0,264.0
2022-07-25 10:30:00,1645.0,205.0,310.0
